neutral/1|mai2 ti3 au3 piah4 kong1 lang5 e7 phainn1 ue7|莫佇後壁講人的歹話
neutral/2|gua1 i1 king1 siunn3 bo5 khah1 ho2 e7 ke2 tshik8 ah4|我已經想無較好的計策矣
neutral/3|li1 e7 pak8 too2 na1 e3 hiah8 ni7 tua3 khian1|你的腹肚哪會遐爾大圈
neutral/4|tsit8 king7 tiam2 si3 sng3 lang7 thau5 siu7 tsinn5 e7|這間店是算人頭收錢的
neutral/5|gua1 tsu3 thau5 to3 bo7 siong7 sin3 i7 e7 ue7|我自頭就無相信伊的話
happy/1|gua1 kho1 tschi3 tscit4 pa2 hun1|我考試一百分
happy/2|gua1 tsiann7 khuai2 lok8|我很快樂
happy/3|gua1 un7 khi3 tsciann7 ho2|我運氣很好
happy/4|kin7 a2 djzit8 thinn7 khi3 tsciann7 ho2|今天天氣很好
happy/5|thau7 ke1 tshiann1 tsiah3 png7|老闆請吃飯
sad/1|i7 m3 sci3 gua1 e7 tschin7 senn1 kiann2|伊毋是我的親生囝 
sad/2|hit4 e7 gin1 a2 tshut8 sci3 bo7 gua3 ku2 to3 iau1 sciu3 ah4|彼的囡仔出世無偌久就夭壽矣
sad/3|dli1 tai3 tsci3 bu1 kau2 tscit8 khuan1 te3 poo7|你代誌舞到這款地步 
sad/4|tscit4 e7 gin1 a2 e7 tshut8 scin1 tsciann7 kho1 dlieen5|這个囡仔的出身誠可憐
sad/5|tschiann1 dli1 it8 tieng7 ai2 the2 gua1 scin7 uan1|請你一定愛替我申冤 
cry/1|dli1 nann1 e7 dlieen7 gua1 to7 menn3 tsham7 dloh4 khi3|你哪會連我都罵參落去 
cry/2|gua1 khia7 tschia7 puah4 to2 khi2 scioong7 tioh8 kin1|我騎車跋倒去傷著筋
cry/3|i7 tschi7 e7 ke7 a2 dloong1 tioh8 tse1 sci1 dliau1 dliau2|伊飼的雞仔攏著災死了了 
cry/4|li1 e7 sim7 kuann1 na1 e3 tsiah8 hiong5 |你的心肝哪會遮雄
cry/5|i7 sci3 tscit8 e7 bo7 thieen7 dlioong5 e7 dlang5|伊是一个無天良的人 
scary/1|khi2 hun1 kam1 kak4 tsciann7 khioong1 poo3|氣氛感覺很可怕
scary/2|tscit4 tiau7 dloo3 dloong1 bo7 tieng1|這條路都沒有燈
scary/3|manni2 ko2 djzia1 i7 sciu3 khi3|不要再惹她生氣
scary/4|tscit8 tscit4 kieng1 tshu2 tsciann7 ku1 bo7 dlang7 dlai5|這間房子很久沒人來
scary/5|i7 khuann2 khi1 dlai5 tsciann7 ki7 kuai3|他看起來很奇怪
angry/1|gua1 bo7 kah8 i3 i7 tso2 tai3 tsci3 e7 hoong7 sciek4|我無佮意伊做代誌的方式
angry/2|tscit8 kiann3 tai3 tsci3 dli1 sci3 be2 an1 tsuann2 tshu1 ti3|這件代誌你是欲按怎處置
angry/3|tscit8 khuan1 tai3 tsci3 dli1 ah4 tso2 e3 tshut8 dlai5|這款代誌你曷做會出來
angry/4|gua1 tscit8 ninna1 sann1 e7 dlai3 dli1 phua2 khi2 ah4|我這領衫的內裡破去矣
angry/5|gua1 khuann2 dli1 sci3 bo5 tsai7 tiau7 hieng7 gua1|我看你是無才調還我
